Name,Address,City,Country
Druni Carlemany,AV CARLEMANY 75,Andorra,Andorra
Pyrenees Distribucio S.A.U.,Avenida Meritxell 11,Andorra la Vella,Andorra
Julia Pas de la Casa,Avenida Encamp 4,Pas de la Casa,Andorra
Rituals Wien Auhof Center, Albert-Schweizer Gasse 6,Wien,Austria
Rituals Wien Kärntnerstraße,Kärtnerstraße 35,Wien,Austria
Rituals Wien Mariahilfer Strasse,Wien Mariahilfer Straße 57-59,Wien,Austria
Rituals Gent Lange Munt,Lange Munt 46,Gent,Belgium
Rituals Uccle Chaussée dAlsemberg,Chaussée dAlsemberg 763,Uccle,Belgium
Rituals Waterloo,Chaussé de Bruxelles 175,Waterloo,Belgium
Rituals Sint Niklaas Waasland,Waasland shoppingcenter nr 98 Kapelstraat 100,St Niklaas,Belgium
Rituals Louvain la Neuve,Centre Commercial L'Esplanade/ Place de l'Acceuil 10,Louvain-la-Neuve,Belgium
Rituals Leuven,Dietsestraat 91,Leuven,Belgium
Rituals Genk,Rootenstraat 8 / Unit 42,Genk,Belgium
Douglas 11 Panorama Pleven Mall,Ivan Mendilikov 1,Pleven,Bulgaria
DOUGLAS 5 PLOVDIV PLAZA, 3 dr. Georgi Stranski,Plovdiv,Bulgaria
BEAUTY | ZONE 9 MALL ROUSSE, Bd. Lipnik nr. 121,Rousse,Bulgaria
Beauty | Zone 5 Stara Zagora, 52 N. Petkov Blvd,STARA ZAGORA,Bulgaria
DOUGLAS 6 PARADISE CENTER, 100 Cherni vrah blvd.,Sofia,Bulgaria
BEAUTY | ZONE 3 MALL OF SOFIA, 101 Al. Stamboliiski blvd.,Sofia,Bulgaria
Sephora The Mall,115 Tzarigradsko shose Blvd,Sofia,Bulgaria
DOUGLAS 3 THE MALL, 115 Tsarigradsko shosse blvd.,Sofia,Bulgaria
Sephora Serdika 2790,48 Stinyakovo Blvd,Sofia,Bulgaria
Sephora Paradise Mall,Cherni Vrah Boulevard 60,Sofia,Bulgaria
DOUGLAS 2 SERDIKA CENTER, 48 Sitnyakovo blvd.,Sofia,Bulgaria
DOUGLAS 4 GRAND MALL VARNA, 2 Andrei Saharov blvd.,Varna,Bulgaria
DOUGLAS 9 DELTA PLANET, 185 Slivnitsa blvd.,Varna,Bulgaria
Beauty | Zone 2 Sofia,2 Arsenalski Blvd.,sofia,Bulgaria
Douglas Ljubljana Supernova Rudnik P203,Jur?kova cesta 223,Ljubljana,Croatia
Douglas Citypark Ljubljana P202,Moskovska ulica 4,Ljubljana,Croatia
Pula Max City P113,Negrijeva ulica 5,Pula,Croatia
Douglas Rijeka P116,Trg 111. Hrvatske brigade broj 2,Rijeka,Croatia
Douglas Rijeka,Janka Poli?a Kamova 81A,Rijeka,Croatia
Douglas Ikea outlet,Alfreda Nobela 4,Sesvetski Kraljevac,Croatia
Douglas Merkator Konzum (Split),Matoeva 10,Solin,Croatia
Douglas Split P115,Ylica Kralja Tomislava 7,Split,Croatia
Douglas Split City Center one,City Center one / Vukovarska ul. 207,Split,Croatia
Douglas Varadin P016,Franjeva?ki trg 6,Varadin,Croatia
P108 Douglas Parfumerije,Kree Golika 3A,Zagreb,Croatia
Douglas Webshop P903,Kree Golika 3a,Zagreb,Croatia
Douglas Zagreb Cvjetni,Trg Petra Preradovi?a 6,Zagreb,Croatia
Douglas Zagreb Superkonzum,Radni?ka cesta 49,Zagreb,Croatia
Douglas Zagreb Main Square,Trg bana Josipa Jela?i?a 6,Zagreb,Croatia
Douglas Zagreb Jelacica,Trg bana Jela?i?a 1,Zagreb,Croatia
Douglas Zagreb Lower Town,Trg bana Jela?i?a,Zagreb,Croatia
Douglas Sibenik Dalmare,Velimira korpika 23,ibenik,Croatia
Rituals Willemstad Zuikertuin, Zuikertuintje weg z/n,Willemstad,Curaçao
Rituals Prague Galerie Harfa,?eskomoravská 2420/15a,Prague,Czech Republic
Rituals Ústí nad Labem Forum,Bílinská 3490,Ústí nad Labem-m?sto,Czech Republic
Rituals Futurum Hradec Králové,Brn?nská 1825/23A,Hradec Králové,Czech Republic
Rituals Plzen Plaza Mall,Rad?ická 2,Plze?,Czech Republic
Rituals Plzen Olympia,Písecká 972/1,Plze?,Czech Republic
Rituals Ceske Budejovice IGY Centrum,Praská t?. 1247/24,?eské Bud?jovice,Czech Republic
Rituals Brno Va?kovka,Ve Va?kovce 462/1,Brno-st?ed,Czech Republic
Rituals Pardubice Atrium Palace Pardubice,Atrium Palace Pardubice,Pardubice,Czech Republic
Rituals Prague Palladium,nám?stí Republiky 1079/1a,Prague,Czech Republic
Rituals Prague Nový Smíchov,Plze?ská 233/8,Praha,Czech Republic
Rituals Prague Zlicin,?evnická  121/1,Praha,Czech Republic
Rituals Prague Arkady, Na Pankráci 1726/86,Praha,Czech Republic
Rituals Esbjerg,Kongens gade 55,Esbjerg,Denmark
Rituals Copenhagen Fisketorvet,Havneholmen 5,Copenhagen W,Denmark
Rituals Copenhagen Field's,Arne Jacobssens Allé 12,Copenhagen,Denmark
Rituals Copenhagen Airport,Lufthavnsboulevarden 6,Copenhagen,Denmark
Rituals Viborg Sct. Mathias Gade,Sct. Mathias Gade 19A,Viborg,Denmark
Stockmann Tallinn,Liivalaia str 53,Tallinn,Estonia
Rituals Saint-Quentin Aushopping,Route d'Amiens - RN 29,Saint-Quentin Le Fayet,France
Rituals Nantes Atlantis,Centre Commercial Régional Nantes Boulevard Salvador Allende,Saint-Herblain,France
Rituals Tarbes Le Méridien,Centre Commercial Le Méridien - Route de Pau,Ibos,France
Rituals Mont-Saint-Martin Pôle Europe,1 Boulevard de l'Europe,Mont-Saint-Martin,France
Rituals Perpignan Salanca,Route du Barcarès,Claira,France
Rituals Dijon Toison d'Or,Route de Langres - BP77864,Dijon,France
Rituals Roppenheim The Style Outlets,1 Route de lEurope RD4,Roppenheim,France
Rituals Thiais Belle Epine,rue du Luxembourg,Thiais,France
Rituals Lanester La Galerie Géant,78 rue Ambroise Croizat,Lanester,France
Rituals Moulins les Metz Waves,Centre commercial Waves Actisud,Moulins-lès-Metz,France
Rituals Issy Coeur de Ville,9 Promenade cur de ville,Issy-Les-Moulineaux,France
Rituals Bègles Rives Arcins,Centre commercial Rives d'Arcins,Bègles Cedex,France
Rituals Louvroil Val de Sambre,1 Départementale 121,Louvroil,France
Rituals Blois Aushopping Blois Vineuil,99 rue Pierre Gilles de Genne,Vineuil,France
Rituals Portet-sur-Garonne Grand Portet,110 Boulevard de lEurope,Portet-sur-Garonne,France
Rituals Houssen,Rue du Buhlfeld,Houssen,France
Rituals Houdemont,D570 route Départementale,Houdemont,France
Rituals Giverny Designer Outlet,ZAC de Normandie Parc,Douains,France
Rituals Paris Gare Montparnasse,CC Gare Montparnasse 17 boulevard de Vaugirard,Paris,France
Rituals Sables d'Olonne Ylium,CC YLIUM NIVEAU 0 87 avenue François Mitterrand,Olonne sur Mer - LES SABLES DOLONNE,France
Rituals Strasbourg Vendenheim,SHOPPING PROMENADE  CUR ALSACE 6 Boulevard des Enseignes,REICHSTETT,France
Rituals Clermont Ferrand Jaude,CC JAUDE 18 rue d'Allagnat,Clermont Ferrand,France
Rituals Poitiers Cordeliers,CC CORDELIERS NIVEAU 0 4 rue Henri Oudin - Passage des Cordeliers,Poitiers,France
Rituals Mérignac Soleil,CC Mérignac Soleil 17 Avenue de la Somme,Mérignac,France
Rituals Villeneuve d'Ascq V2,CC V2 NIVEAU 0 Boulevard de Valmy,Villeneuve-d'Ascq,France
Rituals Créteil Soleil,CC CRÉTEIL SOLEIL NIVEAU 0 Avenue de la France Libre,Créteil,France
Rituals Marseille Avant Cap,CC AVANT CAP NIVEAU 0 Plan de campagne CD6,Cabriès,France
Rituals Troyes Designer Outlet,Voie du Bois,Pont-Sainte-Marie,France
Rituals Besançon Chateaufarine,CC LA GALERIE CHATEAUFARINE NIVEAU 0 Rue André Breton,Besançon,France
Rituals Paris Bercy Village,CC Bercy Village 19 Cour Saint Emilion Niveau 0,Paris,France
Rituals Paris Passage du Havre,CC PASSAGE DU HAVRE NIVEAU -1 109 Rue Saint-Lazare,Paris,France
Rituals Toulon Grand Var,CC Grand Var Avenue de l'Université Niveau 0,La Valette-du-Var,France
Rituals Lille Euralille,CC Euralille 100 Avenue Willy Brandt Niveau 0,Lille,France
Rituals Levallois So Ouest,CC So Ouest 31 Rue d'Alsace Niveau -1,Levallois-Perret,France
Rituals Lyon Saint-Genis 2,CC Saint-Genis 2 Avenue Charles de Gaulle Niveau 0,Saint-Genis-Laval,France
Rituals Saint-Laurent-du-Var Cap 3000,CC Cap 3000 Avenue Eugène Donadeï Niveau 1,Saint-Laurent-du-Var,France
Rituals Metz Muse,CC Metz Muse 2 rue des Messageries Niveau 0,Metz,France
Rituals Strasbourg Rivétoile,CC Rivétoile 3 Place Dauphine Niveau 0,Strasbourg,France
Rituals Orléans Place d'Arc,CC Place d'Arc 2 Rue Nicolas Copernic Niveau 0,Orléans,France
Rituals Bordeaux Lac,CC BORDEAUX LAC Avenue des Quarante Journaux,Bordeaux,France
Rituals Rennes Alma,CC Rennes Alma 5 rue du Bosphore Niveau 0,Rennes,France
Rituals Le Chesnay Parly 2,CC Parly 2 2 Avenue Charles de Gaulle Niveau 1,Le Chesnay,France
Rituals Villefontaine The Village outlet, Avenue Steve Biko Niveau 0,Villefontaine,France
Rituals Roissy-en-France Aéroville,CC Aéroville 30 Rue des Buissons Niveau 0,Roissy-en-France,France
Rituals Noyelles-Godault Aushopping,CC AUSHOPPING NOYELLES Route Nationale 43,Noyelles-Godault,France
Rituals Lieusaint Carré Sénart,3 Allée du Préambule,Lieusaint,France
Rituals Évry 2,CC Évry 2 2 Boulevard de l'Europe Niveau 1,Évry,France
Rituals Serris Val d'Europe,14 Cour du Danube,Serris,France
Rituals Marseille Terrasses du Port,CC Terrasses du Port 9 Quai du Lazaret Niveau 1,Marseille,France
Rituals Rouen Docks 76,CC Rouen Docks 76 Boulevard Ferdinand de Lesseps Niveau 0,Rouen,France
Rituals Lyon La Part-Dieu,CC La Part-Dieu 133 rue Servient Niveau 0,Lyon,France
Rituals Paris Forum des Halles,CC Forum des Halles 8 Passage de la Canopée La Canopée,Paris,France
Rituals Boulogne Les Passages,CC Les Passages 5 Rue Tony Garnier Niveau 0,Boulogne-Billancourt,France
Rituals Paris Beaugrenelle, NIVEAU 1 12 Rue Linois,Paris,France
Rituals Dresden Kaufpark,Dohaer Strasse 246,Dresden,Germany
Rituals Leuna,Nova Eventis 1,Leuna,Germany
Rituals Berlin Hallen am Borsigturm,Am Borigturm 2,Berlin,Germany
Rituals Husum THEO - Shopping Center,Großstrasse 15-17/ Schloßstrasse,Husum,Germany
Rituals Hameln,Stadt Galerie Pferdemarkt 1,Hameln,Germany
Rituals Hamburg Gerhofstraße,Gerhofstsraße 2-8,Hamburg,Germany
Rituals Berlin Schönhauser Allee,Schönhauserallee 79,Berlin,Germany
Rituals Regensburg,Königstraße 2-4,Regensburg,Germany
Rituals Lübeck,Breite Straße 47-53,Lu?beck,Germany
Rituals Würzburg,Schönbomstrasse 2,Würzburg,Germany
Rituals Berlin Wustermark Designer Outlet,Alter Spandauer Weg 1,Wustermark Berlin,Germany
Rituals Hannover Kröpcke,Karmarschstraße 19-23d,Hannover,Germany
Rituals Berlin Airport Schönefeld,Willy-Brandt-Platz 2,Schönefeld Berlin,Germany
Rituals Frankfurt Skyline Plaza,Europaallee 6,Frankfurt,Germany
Rituals Wesel,Hohe Straße 74 / Beguinenstraße 2a,Wesel,Germany
Rituals Hürth Park,Hürth-Park B013,Hürth,Germany
Rituals München Schwanthalerhöhe,Theriesienhöhe 5,München,Germany
Rituals Koblenz Forum,Forum Mittelrhein Kobelenz Zentralplatz 2 Koblenz,Koblenz,Germany
Sephora Agrinio 803,PL. DIMOKRATIAS & ANASTASIADI 2,Agrinio,Greece
Sephora Vrilissia 726,L.Pentelis 72,Athens,Greece
Attica Golden Hall,Kifisias Str. 37A Marousi,Athens,Greece
Sephora Golden Hall 1486,L.Kifisias 37A & Spirou Loui,Athens,Greece
Sephora Attica the Mall 756,Notios Paradromos Attikis Odou,Athens,Greece
Sephora Kolonaki 732,Milioni 2,Athens,Greece
Sephora Chalkida 768,Avanton 56 & Vironos,Chalkida,Greece
Sephora Chania 733,A.Papandreou 30 & Chiotaki,Hania,Greece
Sephora Irakleio 1923,Dikaiosinis 49A,Iraklio,Greece
Sephora Kavala 779,Meg.Alexandrou 38-44,Kavala,Greece
Sephora Mykonos 777,Matthaiou Andronikou 8 - Matagiannia,Mykonos,Greece
Sephora One Salonica 786,Kotta Roulia & Giannitson & Kolleti,Thessaloniki,Greece
Sephora Cosmos 755,11o Klm Ethnikis Odou Thes/kis-N.Moudanion,Thessaloniki,Greece
Sephora Trikala 780,B.Georgiou & Kanouta,Trikala,Greece
Sephora Xanthi 811,P.Tsaldari 3,Xanthi,Greece
Douglas Mamut 001,Löv?ház utca 2-6,Budapest,Hungary
Marionnaud Csillagvár 038,Rákóczi Street 36,Budapest,Hungary
Douglas Shopmark 009,Üll?i út 201,Budapest,Hungary
Marionnaud Gy?r 025,Gábor Baross utca 19,Gy?r ,Hungary
Douglas Gy?r 011,Budai út 1,Gy?r ,Hungary
Douglas Kaposvár VST 032,Berzsenyi D. utca 1-3,Kaposvár,Hungary
Marionnaud Szinvapark Miskolc 019,2-6 Bajcsy-Zsilinszky Street,Miskolc,Hungary
Douglas Miskolc Plaza VST 026,Szentpáli út 2-6,Miskolc,Hungary
Douglas Webshop HU 030,Daniella utca 7,Nagytarcsa,Hungary
Douglas Nyíregyháza 015,Jókai-Nagy Imre tér,Nyíregyháza,Hungary
Douglas Sopron VST 022,Sopron Plaza Leckner Kristof u.35,Sopron,Hungary
Marionnaud Szigetszenmiklos 023,Háros út 120,Szigetszentmiklós,Hungary
Douglas Szolnok VST 031,Fels? Szandai rét 1.,Szolnok,Hungary
Rituals Forlì Punta Di Ferro,Piazzale della Cooperazione 2,Forlì,Italy
Rituals Tokyo Minami Aoyama,5-6-5 Minami Aoyama,Tokyo,Japan
Douglas Daugavpils Ditton VST122,Cietok?u iela 60,Daugavpils,Latvia
Douglas Daugavpils Solo VST117,R?gas iela 9,Daugavpils,Latvia
Douglas J?kabpils VST123,Vien?bas iela 7,Jekabpils,Latvia
Douglas Liep?ja Sala VST136,Klaip?das iela 62,Liep?ja,Latvia
Douglas Br?v?bas,Br?v?bas iela 55,Riga,Latvia
Douglas Domina,Ieri?u iela 3,Riga,Latvia
Douglas Galerija Centrs,Aud?ju iela 16,Riga,Latvia
